id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
31108;Aude;Old or wealthy;Female;French;15000;04.07.2016 19:59:04;myData.biz
31109;Aude;old, wealthy;Female;French;15000;04.07.2016 19:59:11;myData.biz
31110;Audel;Old friend.;Male;English;387;04.07.2016 19:59:24;myData.biz
31111;Audelia;Nobility: strength.;Female;English;281;04.07.2016 19:59:31;myData.biz
31112;Auden;Old friend.;Male;English;1000;04.07.2016 19:59:37;myData.biz
31113;Audene;Nobility: strength.;Female;English;53;04.07.2016 19:59:46;myData.biz
31114;Audie;Noble strength;Female;English;4000;04.07.2016 19:59:53;myData.biz
31115;Audie;Old friend.;Male;English;4000;04.07.2016 19:59:59;myData.biz
31116;Audley;from the old meadow;Male;Anglo;3000;04.07.2016 20:00:09;myData.biz
31117;Audley;From the old meadow;Male;Anglo-Saxon;3000;04.07.2016 20:00:15;myData.biz
31118;Audley;Old friend.;Male;English;3000;04.07.2016 20:00:23;myData.biz
31119;Audra;Nobility: strength.;Female;French;18000;04.07.2016 20:00:33;myData.biz
31120;Audra;Noble strength;Female;English;18000;04.07.2016 20:00:39;myData.biz
31121;Audre;Noble strength;Female;English;984;04.07.2016 20:00:49;myData.biz
31122;Audrea;Nobility: strength.;Female;English;2000;04.07.2016 20:00:57;myData.biz
31123;Audreana;Nobility: strength.;Female;English;111;04.07.2016 20:01:06;myData.biz
31124;Audreanna;Nobility: strength.;Female;English;158;04.07.2016 20:01:14;myData.biz
31125;Audree;Nobility: strength.;Female;French;1000;04.07.2016 20:01:21;myData.biz
31126;Audrey;"&quot;Noble strength.&quot;";Female;Anglo;145000;04.07.2016 20:01:28;myData.biz
31127;Audrey;Noble strength;Female;Anglo-Saxon;145000;04.07.2016 20:01:35;myData.biz
31128;Audrey;noble strength;Female;English;145000;04.07.2016 20:01:43;myData.biz
31129;Audrey;Noble strength: Nobility: strength.;Female;English;145000;04.07.2016 20:01:51;myData.biz
31130;Audri;Nobility: strength.;Female;English;2000;04.07.2016 20:02:00;myData.biz
31131;Audria;Nobility: strength.;Female;English;2000;04.07.2016 20:02:09;myData.biz
31132;Audriana;Nobility: strength.;Female;English;910;04.07.2016 20:02:17;myData.biz
